EV	ER	Voc. Overlap	ENTR	S1	S2	IE_S1	ER_S1	IE_S2	ER_S2	SR/S1/ER	SR/S1/ENTR	SR/S2/ER	SR/S2/ENTR	dialogue_count	mname	history_length	num_samples	weight	topk
0.11	0.26	0.25	0.66	Human 1	Human 2	0.64	0.20	0.36	0.28	0.22	0.59	0.52	0.98	0	facebook/blenderbot-3B	6	10	25	20
0.13	0.24	0.31	1.44	Human 1	Human 2	0.50	0.18	0.50	0.27	0.08	0.00	0.51	1.29	1	facebook/blenderbot-3B	6	10	25	20
0.14	0.26	0.27	1.05	Human 1	Human 2	0.62	0.17	0.38	0.33	0.32	0.43	0.48	0.95	2	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.20	0.65	Human 1	Human 2	0.77	0.11	0.23	0.36	0.30	0.64	0.43	0.82	3	facebook/blenderbot-3B	6	10	25	20
0.16	0.31	0.34	1.21	Human 1	Human 2	0.89	0.09	0.11	0.50	0.17	0.00	0.38	0.74	4	facebook/blenderbot-3B	6	10	25	20
0.10	0.24	0.23	1.00	Human 1	Human 2	0.75	0.15	0.25	0.33	0.23	0.00	0.44	1.18	5	facebook/blenderbot-3B	6	10	25	20
0.11	0.30	0.22	0.98	Human 1	Human 2	0.64	0.24	0.36	0.33	0.24	0.59	0.51	1.10	6	facebook/blenderbot-3B	6	10	25	20
0.11	0.26	0.23	0.81	Human 1	Human 2	0.69	0.15	0.31	0.34	0.30	0.85	0.48	1.08	7	facebook/blenderbot-3B	6	10	25	20
0.13	0.30	0.24	0.85	Human 1	Human 2	0.69	0.23	0.31	0.36	0.38	0.59	0.47	0.67	8	facebook/blenderbot-3B	6	10	25	20
0.13	0.32	0.26	0.86	Human 1	Human 2	0.60	0.23	0.40	0.44	0.38	1.01	0.50	0.84	9	facebook/blenderbot-3B	6	10	25	20
0.12	0.25	0.27	0.78	Human 1	Human 2	0.82	0.09	0.18	0.37	0.26	0.40	0.42	1.19	10	facebook/blenderbot-3B	6	10	25	20
0.12	0.33	0.24	0.51	Human 1	Human 2	0.63	0.30	0.38	0.37	0.39	0.40	0.41	1.18	11	facebook/blenderbot-3B	6	10	25	20
0.13	0.29	0.26	0.94	Human 1	Human 2	0.63	0.19	0.37	0.36	0.37	0.98	0.49	0.65	12	facebook/blenderbot-3B	6	10	25	20
0.12	0.28	0.25	0.99	Human 1	Human 2	0.72	0.16	0.28	0.37	0.36	0.50	0.49	1.50	13	facebook/blenderbot-3B	6	10	25	20
0.12	0.29	0.24	1.08	Human 1	Human 2	0.56	0.27	0.44	0.30	0.38	1.05	0.51	0.96	14	facebook/blenderbot-3B	6	10	25	20
0.13	0.22	0.24	0.73	Human 1	Human 2	0.42	0.20	0.58	0.25	0.21	0.00	0.41	0.84	15	facebook/blenderbot-3B	6	10	25	20
0.10	0.21	0.19	0.46	Human 1	Human 2	0.61	0.17	0.39	0.24	0.27	0.76	0.40	0.86	16	facebook/blenderbot-3B	6	10	25	20
0.12	0.22	0.26	0.88	Human 1	Human 2	0.87	0.05	0.13	0.30	0.25	0.00	0.49	0.93	17	facebook/blenderbot-3B	6	10	25	20
0.10	0.24	0.20	0.98	Human 1	Human 2	0.39	0.22	0.61	0.26	0.31	0.87	0.31	1.67	18	facebook/blenderbot-3B	6	10	25	20
0.12	0.32	0.27	0.75	Human 1	Human 2	0.59	0.22	0.41	0.39	0.34	0.35	0.47	0.96	19	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.28	1.22	Human 1	Human 2	0.63	0.22	0.38	0.38	0.41	1.19	0.36	0.78	20	facebook/blenderbot-3B	6	10	25	20
0.15	0.35	0.29	1.05	Human 1	Human 2	0.66	0.25	0.34	0.42	0.24	0.00	0.47	0.88	21	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.23	0.96	Human 1	Human 2	0.46	0.20	0.54	0.26	0.23	0.00	0.40	1.01	22	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.27	1.25	Human 1	Human 2	0.62	0.23	0.38	0.35	0.36	1.14	0.41	0.95	23	facebook/blenderbot-3B	6	10	25	20
0.11	0.21	0.20	0.61	Human 1	Human 2	0.65	0.18	0.35	0.22	0.19	0.81	0.50	0.84	24	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.25	1.85	Human 1	Human 2	0.77	0.11	0.23	0.43	0.36	1.43	0.49	1.14	25	facebook/blenderbot-3B	6	10	25	20
0.14	0.31	0.26	0.96	Human 1	Human 2	0.67	0.20	0.33	0.37	0.18	0.00	0.45	1.26	26	facebook/blenderbot-3B	6	10	25	20
0.11	0.19	0.18	0.72	Human 1	Human 2	0.75	0.12	0.25	0.24	0.18	0.62	0.36	0.63	27	facebook/blenderbot-3B	6	10	25	20
0.11	0.28	0.22	0.72	Human 1	Human 2	0.59	0.16	0.41	0.43	0.28	0.51	0.48	1.14	28	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.26	0.72	Human 1	Human 2	0.71	0.19	0.29	0.38	0.44	0.85	0.43	0.73	29	facebook/blenderbot-3B	6	10	25	20
0.10	0.21	0.19	0.23	Human 1	Human 2	0.67	0.18	0.33	0.23	0.24	0.59	0.42	0.63	30	facebook/blenderbot-3B	6	10	25	20
0.11	0.28	0.23	0.73	Human 1	Human 2	0.69	0.21	0.31	0.35	0.37	0.77	0.43	1.04	31	facebook/blenderbot-3B	6	10	25	20
0.12	0.23	0.27	1.06	Human 1	Human 2	0.81	0.06	0.19	0.36	0.23	0.54	0.41	0.51	32	facebook/blenderbot-3B	6	10	25	20
0.11	0.23	0.23	0.82	Human 1	Human 2	0.67	0.14	0.33	0.35	0.33	0.77	0.42	0.76	33	facebook/blenderbot-3B	6	10	25	20
0.10	0.27	0.20	0.90	Human 1	Human 2	0.65	0.20	0.35	0.34	0.34	0.49	0.44	0.96	34	facebook/blenderbot-3B	6	10	25	20
0.12	0.30	0.24	0.68	Human 1	Human 2	0.52	0.24	0.48	0.34	0.27	0.36	0.45	1.29	35	facebook/blenderbot-3B	6	10	25	20
0.12	0.20	0.23	0.38	Human 1	Human 2	0.68	0.19	0.32	0.20	0.25	0.89	0.32	0.86	36	facebook/blenderbot-3B	6	10	25	20
0.15	0.32	0.29	0.88	Human 1	Human 2	0.79	0.20	0.21	0.46	0.36	0.62	0.51	0.83	37	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.25	0.86	Human 1	Human 2	0.58	0.21	0.42	0.36	0.31	0.59	0.45	0.51	38	facebook/blenderbot-3B	6	10	25	20
0.13	0.19	0.24	1.26	Human 1	Human 2	0.44	0.17	0.56	0.23	0.00	0.00	0.00	0.00	39	facebook/blenderbot-3B	6	10	25	20
0.15	0.27	0.23	0.97	Human 1	Human 2	0.72	0.21	0.28	0.30	0.38	0.88	0.36	0.66	40	facebook/blenderbot-3B	6	10	25	20
0.11	0.28	0.24	1.03	Human 1	Human 2	0.55	0.19	0.45	0.40	0.28	0.74	0.53	1.11	41	facebook/blenderbot-3B	6	10	25	20
0.12	0.27	0.24	0.59	Human 1	Human 2	0.63	0.22	0.37	0.33	0.32	0.76	0.42	1.15	42	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.26	0.51	Human 1	Human 2	0.83	0.15	0.17	0.40	0.36	1.01	0.44	0.45	43	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.21	0.92	Human 1	Human 2	0.48	0.18	0.52	0.26	0.17	0.72	0.51	1.29	44	facebook/blenderbot-3B	6	10	25	20
0.11	0.18	0.19	0.67	Human 1	Human 2	0.41	0.28	0.59	0.14	0.16	0.00	0.51	0.73	45	facebook/blenderbot-3B	6	10	25	20
0.15	0.27	0.24	0.70	Human 1	Human 2	0.85	0.08	0.15	0.49	0.26	0.33	0.48	0.77	46	facebook/blenderbot-3B	6	10	25	20
0.15	0.27	0.30	1.07	Human 1	Human 2	0.50	0.30	0.50	0.25	0.25	0.95	0.36	1.00	47	facebook/blenderbot-3B	6	10	25	20
0.12	0.26	0.26	0.63	Human 1	Human 2	0.79	0.14	0.21	0.34	0.27	0.40	0.43	0.74	48	facebook/blenderbot-3B	6	10	25	20
0.15	0.30	0.28	1.08	Human 1	Human 2	0.62	0.21	0.38	0.38	0.34	0.64	0.53	1.16	49	facebook/blenderbot-3B	6	10	25	20
0.13	0.24	0.26	0.64	Human 1	Human 2	0.67	0.17	0.33	0.32	0.26	0.61	0.25	0.44	50	facebook/blenderbot-3B	6	10	25	20
0.13	0.29	0.27	0.94	Human 1	Human 2	0.66	0.19	0.34	0.40	0.33	0.44	0.47	0.77	51	facebook/blenderbot-3B	6	10	25	20
0.14	0.31	0.26	0.91	Human 1	Human 2	0.65	0.22	0.35	0.38	0.43	0.66	0.52	0.73	52	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.26	0.79	Human 1	Human 2	0.63	0.22	0.37	0.33	0.41	1.24	0.51	0.68	53	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.28	1.00	Human 1	Human 2	0.67	0.22	0.33	0.34	0.32	0.30	0.55	1.23	54	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.22	0.74	Human 1	Human 2	0.69	0.22	0.31	0.26	0.36	1.07	0.40	0.56	55	facebook/blenderbot-3B	6	10	25	20
0.11	0.19	0.22	0.96	Human 1	Human 2	0.54	0.16	0.46	0.22	0.29	0.40	0.42	0.74	56	facebook/blenderbot-3B	6	10	25	20
0.13	0.30	0.26	0.68	Human 1	Human 2	0.70	0.20	0.30	0.41	0.30	0.41	0.45	0.90	57	facebook/blenderbot-3B	6	10	25	20
0.14	0.26	0.28	1.03	Human 1	Human 2	0.63	0.24	0.37	0.27	0.30	1.15	0.39	0.53	58	facebook/blenderbot-3B	6	10	25	20
0.13	0.33	0.29	0.87	Human 1	Human 2	0.79	0.18	0.21	0.48	0.42	0.82	0.49	0.81	59	facebook/blenderbot-3B	6	10	25	20
0.13	0.29	0.25	0.83	Human 1	Human 2	0.62	0.19	0.38	0.39	0.34	0.96	0.43	0.88	60	facebook/blenderbot-3B	6	10	25	20
0.12	0.33	0.27	0.84	Human 1	Human 2	0.65	0.25	0.35	0.43	0.41	0.91	0.51	0.93	61	facebook/blenderbot-3B	6	10	25	20
0.14	0.27	0.27	1.04	Human 1	Human 2	0.59	0.18	0.41	0.36	0.27	0.62	0.39	0.30	62	facebook/blenderbot-3B	6	10	25	20
0.11	0.29	0.22	0.52	Human 1	Human 2	0.74	0.14	0.26	0.44	0.37	0.56	0.50	0.84	63	facebook/blenderbot-3B	6	10	25	20
0.12	0.30	0.24	0.99	Human 1	Human 2	0.69	0.20	0.31	0.37	0.28	0.00	0.41	1.24	64	facebook/blenderbot-3B	6	10	25	20
0.10	0.24	0.20	1.01	Human 1	Human 2	0.82	0.14	0.18	0.36	0.28	0.75	0.37	1.24	65	facebook/blenderbot-3B	6	10	25	20
0.12	0.26	0.23	0.61	Human 1	Human 2	0.71	0.15	0.29	0.35	0.35	0.46	0.50	0.90	66	facebook/blenderbot-3B	6	10	25	20
0.13	0.23	0.25	0.89	Human 1	Human 2	0.50	0.24	0.50	0.23	0.26	0.61	0.38	0.76	67	facebook/blenderbot-3B	6	10	25	20
0.14	0.31	0.31	0.92	Human 1	Human 2	0.64	0.21	0.36	0.42	0.37	0.97	0.50	1.10	68	facebook/blenderbot-3B	6	10	25	20
0.13	0.30	0.27	0.83	Human 1	Human 2	0.51	0.26	0.49	0.35	0.41	0.96	0.51	0.93	69	facebook/blenderbot-3B	6	10	25	20
0.15	0.28	0.29	0.67	Human 1	Human 2	0.48	0.29	0.53	0.27	0.29	0.00	0.55	0.79	70	facebook/blenderbot-3B	6	10	25	20
0.15	0.30	0.29	0.94	Human 1	Human 2	0.55	0.24	0.45	0.34	0.23	0.50	0.37	0.30	71	facebook/blenderbot-3B	6	10	25	20
0.11	0.31	0.23	0.64	Human 1	Human 2	0.68	0.22	0.32	0.42	0.38	0.69	0.52	0.79	72	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.23	1.01	Human 1	Human 2	0.67	0.12	0.33	0.34	0.21	0.43	0.39	0.98	73	facebook/blenderbot-3B	6	10	25	20
0.09	0.16	0.20	0.27	Human 1	Human 2	0.67	0.18	0.33	0.15	0.17	0.86	0.46	0.83	74	facebook/blenderbot-3B	6	10	25	20
0.12	0.31	0.23	0.61	Human 1	Human 2	0.52	0.28	0.48	0.32	0.29	0.76	0.54	1.03	75	facebook/blenderbot-3B	6	10	25	20
0.13	0.26	0.23	0.90	Human 1	Human 2	0.61	0.19	0.39	0.30	0.17	0.72	0.44	1.14	76	facebook/blenderbot-3B	6	10	25	20
0.11	0.19	0.18	0.62	Human 1	Human 2	0.56	0.22	0.44	0.18	0.31	0.00	0.34	0.89	77	facebook/blenderbot-3B	6	10	25	20
0.14	0.35	0.32	0.73	Human 1	Human 2	0.55	0.28	0.45	0.42	0.40	0.51	0.52	1.31	78	facebook/blenderbot-3B	6	10	25	20
0.11	0.26	0.22	1.15	Human 1	Human 2	0.56	0.18	0.44	0.30	0.27	0.49	0.44	0.98	79	facebook/blenderbot-3B	6	10	25	20
0.12	0.23	0.24	0.68	Human 1	Human 2	0.68	0.19	0.32	0.25	0.21	0.52	0.45	0.62	80	facebook/blenderbot-3B	6	10	25	20
0.12	0.26	0.21	0.76	Human 1	Human 2	0.79	0.14	0.21	0.38	0.32	0.34	0.41	0.61	81	facebook/blenderbot-3B	6	10	25	20
0.13	0.31	0.26	0.93	Human 1	Human 2	0.71	0.21	0.29	0.40	0.37	0.69	0.48	0.98	82	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.40	0.00	Human 1	Human 2	1.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	83	facebook/blenderbot-3B	6	10	25	20
0.13	0.26	0.25	0.92	Human 1	Human 2	0.70	0.16	0.30	0.35	0.18	0.00	0.48	1.30	84	facebook/blenderbot-3B	6	10	25	20
0.12	0.26	0.23	1.01	Human 1	Human 2	0.59	0.19	0.41	0.31	0.17	0.00	0.41	0.67	85	facebook/blenderbot-3B	6	10	25	20
0.15	0.38	0.31	1.08	Human 1	Human 2	0.46	0.38	0.54	0.37	0.44	1.08	0.50	0.93	86	facebook/blenderbot-3B	6	10	25	20
0.13	0.31	0.25	0.64	Human 1	Human 2	0.64	0.20	0.36	0.41	0.34	0.64	0.46	0.94	87	facebook/blenderbot-3B	6	10	25	20
0.13	0.33	0.27	0.81	Human 1	Human 2	0.57	0.28	0.43	0.37	0.33	0.52	0.49	1.02	88	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.24	0.80	Human 1	Human 2	0.77	0.14	0.23	0.30	0.27	0.47	0.45	1.09	89	facebook/blenderbot-3B	6	10	25	20
0.12	0.31	0.26	0.91	Human 1	Human 2	0.72	0.23	0.28	0.41	0.45	1.05	0.59	1.13	90	facebook/blenderbot-3B	6	10	25	20
0.12	0.23	0.25	0.42	Human 1	Human 2	0.71	0.17	0.29	0.29	0.40	0.83	0.43	0.91	91	facebook/blenderbot-3B	6	10	25	20
0.12	0.27	0.28	1.10	Human 1	Human 2	0.69	0.16	0.31	0.37	0.41	0.83	0.45	1.38	92	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.26	0.60	Human 1	Human 2	0.76	0.15	0.24	0.42	0.24	0.38	0.42	0.25	93	facebook/blenderbot-3B	6	10	25	20
0.11	0.29	0.21	0.64	Human 1	Human 2	0.53	0.26	0.47	0.32	0.37	1.04	0.42	0.57	94	facebook/blenderbot-3B	6	10	25	20
0.11	0.20	0.23	0.90	Human 1	Human 2	0.71	0.12	0.29	0.25	0.23	0.00	0.40	0.77	95	facebook/blenderbot-3B	6	10	25	20
0.10	0.24	0.21	0.73	Human 1	Human 2	0.68	0.14	0.32	0.30	0.22	0.59	0.39	0.81	0	facebook/blenderbot-3B	6	10	75	20
0.13	0.23	0.30	0.90	Human 1	Human 2	0.65	0.14	0.35	0.28	0.08	0.00	0.38	0.80	1	facebook/blenderbot-3B	6	10	75	20
0.13	0.28	0.28	0.74	Human 1	Human 2	0.83	0.13	0.17	0.39	0.32	0.43	0.39	0.39	2	facebook/blenderbot-3B	6	10	75	20
0.12	0.26	0.24	0.73	Human 1	Human 2	0.59	0.21	0.41	0.32	0.30	0.64	0.40	1.20	3	facebook/blenderbot-3B	6	10	75	20
0.15	0.20	0.29	0.51	Human 1	Human 2	1.00	0.06	0.00	0.35	0.17	0.00	0.22	0.68	4	facebook/blenderbot-3B	6	10	75	20
0.14	0.31	0.30	0.82	Human 1	Human 2	0.72	0.16	0.28	0.42	0.23	0.00	0.46	1.33	5	facebook/blenderbot-3B	6	10	75	20
0.13	0.26	0.28	1.28	Human 1	Human 2	0.67	0.19	0.33	0.30	0.24	0.59	0.47	1.02	6	facebook/blenderbot-3B	6	10	75	20
0.14	0.33	0.27	0.56	Human 1	Human 2	0.65	0.21	0.35	0.44	0.30	0.85	0.44	0.95	7	facebook/blenderbot-3B	6	10	75	20
0.12	0.29	0.23	0.60	Human 1	Human 2	0.78	0.22	0.22	0.36	0.38	0.59	0.39	0.87	8	facebook/blenderbot-3B	6	10	75	20
0.15	0.38	0.29	1.07	Human 1	Human 2	0.68	0.25	0.32	0.57	0.38	1.01	0.55	0.87	9	facebook/blenderbot-3B	6	10	75	20
0.11	0.26	0.21	0.65	Human 1	Human 2	0.66	0.20	0.34	0.30	0.26	0.40	0.46	0.72	10	facebook/blenderbot-3B	6	10	75	20
0.11	0.28	0.21	0.73	Human 1	Human 2	0.50	0.25	0.50	0.33	0.39	0.40	0.45	1.07	11	facebook/blenderbot-3B	6	10	75	20
0.12	0.30	0.25	0.93	Human 1	Human 2	0.76	0.14	0.24	0.43	0.37	0.98	0.46	0.91	12	facebook/blenderbot-3B	6	10	75	20
0.17	0.35	0.34	0.94	Human 1	Human 2	0.66	0.22	0.34	0.45	0.36	0.50	0.55	0.84	13	facebook/blenderbot-3B	6	10	75	20
0.13	0.33	0.30	1.10	Human 1	Human 2	0.66	0.23	0.34	0.41	0.38	1.05	0.45	0.85	14	facebook/blenderbot-3B	6	10	75	20
0.13	0.21	0.24	0.76	Human 1	Human 2	0.62	0.10	0.38	0.30	0.21	0.00	0.43	0.82	15	facebook/blenderbot-3B	6	10	75	20
0.14	0.26	0.27	1.09	Human 1	Human 2	0.78	0.14	0.22	0.34	0.27	0.76	0.35	0.31	16	facebook/blenderbot-3B	6	10	75	20
0.14	0.32	0.34	1.00	Human 1	Human 2	0.85	0.10	0.15	0.42	0.25	0.00	0.54	0.99	17	facebook/blenderbot-3B	6	10	75	20
0.14	0.27	0.27	0.82	Human 1	Human 2	0.72	0.20	0.28	0.31	0.31	0.87	0.33	0.59	18	facebook/blenderbot-3B	6	10	75	20
0.13	0.36	0.31	0.80	Human 1	Human 2	0.81	0.18	0.19	0.49	0.34	0.35	0.54	0.97	19	facebook/blenderbot-3B	6	10	75	20
0.15	0.35	0.30	1.02	Human 1	Human 2	0.62	0.23	0.38	0.48	0.41	1.19	0.50	0.78	20	facebook/blenderbot-3B	6	10	75	20
0.15	0.31	0.32	0.86	Human 1	Human 2	0.76	0.18	0.24	0.43	0.24	0.00	0.37	0.84	21	facebook/blenderbot-3B	6	10	75	20
0.14	0.33	0.33	0.70	Human 1	Human 2	0.63	0.17	0.37	0.43	0.23	0.00	0.49	1.14	22	facebook/blenderbot-3B	6	10	75	20
0.11	0.28	0.24	0.55	Human 1	Human 2	0.70	0.20	0.30	0.36	0.36	1.14	0.47	0.74	23	facebook/blenderbot-3B	6	10	75	20
0.12	0.21	0.23	0.72	Human 1	Human 2	0.70	0.13	0.30	0.25	0.19	0.81	0.41	0.58	24	facebook/blenderbot-3B	6	10	75	20
0.15	0.28	0.29	1.10	Human 1	Human 2	0.68	0.23	0.32	0.33	0.36	1.43	0.33	0.85	25	facebook/blenderbot-3B	6	10	75	20
0.15	0.31	0.29	0.97	Human 1	Human 2	0.68	0.16	0.32	0.40	0.18	0.00	0.47	0.81	26	facebook/blenderbot-3B	6	10	75	20
0.13	0.23	0.25	0.89	Human 1	Human 2	0.54	0.21	0.46	0.24	0.18	0.62	0.48	0.34	27	facebook/blenderbot-3B	6	10	75	20
0.13	0.29	0.26	0.89	Human 1	Human 2	0.68	0.18	0.32	0.43	0.28	0.51	0.32	0.70	28	facebook/blenderbot-3B	6	10	75	20
0.14	0.32	0.32	1.10	Human 1	Human 2	0.72	0.20	0.28	0.46	0.44	0.85	0.56	0.97	29	facebook/blenderbot-3B	6	10	75	20
0.13	0.29	0.26	0.52	Human 1	Human 2	0.83	0.11	0.17	0.38	0.24	0.59	0.40	0.83	30	facebook/blenderbot-3B	6	10	75	20
0.13	0.32	0.28	0.81	Human 1	Human 2	0.79	0.19	0.21	0.48	0.37	0.77	0.44	0.71	31	facebook/blenderbot-3B	6	10	75	20
0.16	0.38	0.33	1.26	Human 1	Human 2	0.97	0.06	0.03	0.57	0.23	0.54	0.58	0.90	32	facebook/blenderbot-3B	6	10	75	20
0.12	0.29	0.24	0.57	Human 1	Human 2	0.79	0.17	0.21	0.42	0.33	0.77	0.41	0.70	33	facebook/blenderbot-3B	6	10	75	20
0.12	0.30	0.24	0.99	Human 1	Human 2	0.71	0.22	0.29	0.38	0.34	0.49	0.49	0.80	34	facebook/blenderbot-3B	6	10	75	20
0.13	0.29	0.29	0.76	Human 1	Human 2	0.55	0.27	0.45	0.31	0.27	0.36	0.53	1.08	35	facebook/blenderbot-3B	6	10	75	20
0.12	0.21	0.23	0.92	Human 1	Human 2	0.63	0.19	0.37	0.23	0.25	0.89	0.40	0.58	36	facebook/blenderbot-3B	6	10	75	20
0.14	0.34	0.28	0.84	Human 1	Human 2	0.66	0.25	0.34	0.42	0.36	0.62	0.49	1.00	37	facebook/blenderbot-3B	6	10	75	20
0.14	0.29	0.27	0.70	Human 1	Human 2	0.60	0.21	0.40	0.37	0.31	0.59	0.44	0.62	38	facebook/blenderbot-3B	6	10	75	20
0.12	0.16	0.20	0.59	Human 1	Human 2	0.43	0.12	0.57	0.25	0.00	0.00	0.00	0.00	39	facebook/blenderbot-3B	6	10	75	20
0.12	0.32	0.24	0.90	Human 1	Human 2	0.86	0.16	0.14	0.40	0.38	0.88	0.38	0.52	40	facebook/blenderbot-3B	6	10	75	20
0.14	0.27	0.25	0.87	Human 1	Human 2	0.74	0.15	0.26	0.41	0.28	0.74	0.40	0.55	41	facebook/blenderbot-3B	6	10	75	20
0.12	0.31	0.26	0.67	Human 1	Human 2	0.63	0.21	0.37	0.43	0.32	0.76	0.46	0.77	42	facebook/blenderbot-3B	6	10	75	20
0.15	0.34	0.29	0.68	Human 1	Human 2	0.65	0.28	0.35	0.40	0.36	1.01	0.43	0.74	43	facebook/blenderbot-3B	6	10	75	20
0.11	0.22	0.22	0.66	Human 1	Human 2	0.57	0.20	0.43	0.22	0.17	0.72	0.47	0.91	44	facebook/blenderbot-3B	6	10	75	20
0.11	0.16	0.19	0.93	Human 1	Human 2	0.64	0.17	0.36	0.15	0.16	0.00	0.48	1.34	45	facebook/blenderbot-3B	6	10	75	20
0.16	0.32	0.29	0.67	Human 1	Human 2	0.88	0.10	0.12	0.57	0.26	0.33	0.56	0.66	46	facebook/blenderbot-3B	6	10	75	20
0.18	0.34	0.37	1.23	Human 1	Human 2	0.71	0.17	0.29	0.47	0.25	0.95	0.56	1.01	47	facebook/blenderbot-3B	6	10	75	20
0.12	0.27	0.28	1.06	Human 1	Human 2	0.80	0.15	0.20	0.35	0.27	0.40	0.46	1.07	48	facebook/blenderbot-3B	6	10	75	20
0.16	0.30	0.29	0.83	Human 1	Human 2	0.63	0.24	0.38	0.37	0.34	0.64	0.40	1.01	49	facebook/blenderbot-3B	6	10	75	20
0.15	0.26	0.29	0.92	Human 1	Human 2	0.68	0.16	0.32	0.35	0.26	0.61	0.37	0.42	50	facebook/blenderbot-3B	6	10	75	20
0.15	0.32	0.27	0.75	Human 1	Human 2	0.68	0.20	0.32	0.43	0.33	0.44	0.54	1.11	51	facebook/blenderbot-3B	6	10	75	20
0.15	0.32	0.27	1.30	Human 1	Human 2	0.77	0.17	0.23	0.45	0.43	0.66	0.53	0.98	52	facebook/blenderbot-3B	6	10	75	20
0.15	0.29	0.29	0.87	Human 1	Human 2	0.81	0.15	0.19	0.41	0.41	1.24	0.38	0.85	53	facebook/blenderbot-3B	6	10	75	20
0.13	0.34	0.30	0.80	Human 1	Human 2	0.74	0.23	0.26	0.45	0.32	0.30	0.45	0.64	54	facebook/blenderbot-3B	6	10	75	20
0.15	0.31	0.30	1.16	Human 1	Human 2	0.70	0.24	0.30	0.34	0.36	1.07	0.50	0.96	55	facebook/blenderbot-3B	6	10	75	20
0.11	0.23	0.21	0.72	Human 1	Human 2	0.77	0.14	0.23	0.30	0.29	0.40	0.30	0.54	56	facebook/blenderbot-3B	6	10	75	20
0.12	0.31	0.24	0.74	Human 1	Human 2	0.64	0.20	0.36	0.43	0.30	0.41	0.54	1.02	57	facebook/blenderbot-3B	6	10	75	20
0.13	0.26	0.23	1.09	Human 1	Human 2	0.57	0.26	0.43	0.26	0.30	1.15	0.33	0.48	58	facebook/blenderbot-3B	6	10	75	20
0.15	0.35	0.35	1.13	Human 1	Human 2	0.75	0.21	0.25	0.48	0.42	0.82	0.45	1.01	59	facebook/blenderbot-3B	6	10	75	20
0.14	0.36	0.32	1.16	Human 1	Human 2	0.70	0.19	0.30	0.51	0.34	0.96	0.54	0.95	60	facebook/blenderbot-3B	6	10	75	20
0.13	0.30	0.28	0.95	Human 1	Human 2	0.73	0.20	0.27	0.41	0.41	0.91	0.43	0.63	61	facebook/blenderbot-3B	6	10	75	20
0.16	0.33	0.31	1.11	Human 1	Human 2	0.57	0.21	0.43	0.43	0.27	0.62	0.41	0.81	62	facebook/blenderbot-3B	6	10	75	20
0.13	0.29	0.26	0.80	Human 1	Human 2	0.81	0.14	0.19	0.43	0.37	0.56	0.43	0.49	63	facebook/blenderbot-3B	6	10	75	20
0.14	0.30	0.28	0.96	Human 1	Human 2	0.80	0.15	0.20	0.41	0.28	0.00	0.39	0.51	64	facebook/blenderbot-3B	6	10	75	20
0.14	0.28	0.28	0.56	Human 1	Human 2	0.75	0.14	0.25	0.43	0.28	0.75	0.48	0.68	65	facebook/blenderbot-3B	6	10	75	20
0.15	0.32	0.29	0.77	Human 1	Human 2	0.64	0.23	0.36	0.40	0.35	0.46	0.44	0.85	66	facebook/blenderbot-3B	6	10	75	20
0.11	0.23	0.21	0.92	Human 1	Human 2	0.50	0.25	0.50	0.22	0.26	0.61	0.42	0.71	67	facebook/blenderbot-3B	6	10	75	20
0.16	0.35	0.32	0.81	Human 1	Human 2	0.80	0.20	0.20	0.52	0.37	0.97	0.49	0.82	68	facebook/blenderbot-3B	6	10	75	20
0.13	0.29	0.27	0.96	Human 1	Human 2	0.71	0.17	0.29	0.41	0.41	0.96	0.57	1.43	69	facebook/blenderbot-3B	6	10	75	20
0.17	0.31	0.28	0.76	Human 1	Human 2	0.78	0.19	0.23	0.41	0.29	0.00	0.38	0.79	70	facebook/blenderbot-3B	6	10	75	20
0.14	0.32	0.26	0.83	Human 1	Human 2	0.66	0.21	0.34	0.41	0.23	0.50	0.51	0.77	71	facebook/blenderbot-3B	6	10	75	20
0.13	0.36	0.27	0.84	Human 1	Human 2	0.74	0.23	0.26	0.52	0.38	0.69	0.57	1.04	72	facebook/blenderbot-3B	6	10	75	20
0.12	0.26	0.26	1.03	Human 1	Human 2	0.81	0.12	0.19	0.38	0.21	0.43	0.46	1.15	73	facebook/blenderbot-3B	6	10	75	20
0.06	0.13	0.15	0.53	Human 1	Human 2	0.83	0.11	0.17	0.14	0.17	0.86	0.46	1.31	74	facebook/blenderbot-3B	6	10	75	20
